Xcoordinate,Ycoordinate,AP,RSS,OS,Device,Model,Product,ScanTime
564.0531005859375,1497.9312744140625,d8:c7:c8:42:22:91,-50,3.10.61-11738507,zeroltevzw,SM-G925V,zeroltevzw,2019-08-15 20:34:01.0
564.0531005859375,1497.9312744140625,d8:c7:c8:42:22:92,-52,3.10.61-11738507,zeroltevzw,SM-G925V,zeroltevzw,2019-08-15 20:34:01.0
564.0531005859375,1497.9312744140625,d8:c7:c8:42:22:90,-52,3.10.61-11738507,zeroltevzw,SM-G925V,zeroltevzw,2019-08-15 20:34:01.0
564.0531005859375,1497.9312744140625,d8:c7:c8:42:22:80,-57,3.10.61-11738507,zeroltevzw,SM-G925V,zeroltevzw,2019-08-15 20:34:01.0
564.0531005859375,1497.9312744140625,d8:c7:c8:42:22:82,-57,3.10.61-11738507,zeroltevzw,SM-G925V,zeroltevzw,2019-08-15 20:34:01.0
564.0531005859375,1497.9312744140625,d8:c7:c8:42:24:30,-76,3.10.61-11738507,zeroltevzw,SM-G925V,zeroltevzw,2019-08-15 20:34:01.0
564.0531005859375,1497.9312744140625,d8:c7:c8:42:24:20,-68,3.10.61-11738507,zeroltevzw,SM-G925V,zeroltevzw,2019-08-15 20:34:01.0
564.0531005859375,1497.9312744140625,d8:c7:c8:42:24:22,-69,3.10.61-11738507,zeroltevzw,SM-G925V,zeroltevzw,2019-08-15 20:34:01.0
564.0531005859375,1497.9312744140625,d8:c7:c8:42:24:32,-77,3.10.61-11738507,zeroltevzw,SM-G925V,zeroltevzw,2019-08-15 20:34:01.0
564.0531005859375,1497.9312744140625,ec:8e:b5:c7:0e:3e,-81,3.10.61-11738507,zeroltevzw,SM-G925V,zeroltevzw,2019-08-15 20:34:01.0
564.0531005859375,1497.9312744140625,d8:c7:c8:42:3d:a0,-80,3.10.61-11738507,zeroltevzw,SM-G925V,zeroltevzw,2019-08-15 20:34:01.0
564.0531005859375,1497.9312744140625,d8:c7:c8:42:69:40,-76,3.10.61-11738507,zeroltevzw,SM-G925V,zeroltevzw,2019-08-15 20:34:01.0
564.0531005859375,1497.9312744140625,d8:c7:c8:42:69:42,-76,3.10.61-11738507,zeroltevzw,SM-G925V,zeroltevzw,2019-08-15 20:34:01.0
564.0531005859375,1497.9312744140625,d8:c7:c8:42:3d:a2,-80,3.10.61-11738507,zeroltevzw,SM-G925V,zeroltevzw,2019-08-15 20:34:01.0
564.0531005859375,1497.9312744140625,d8:c7:c8:42:63:82,-81,3.10.61-11738507,zeroltevzw,SM-G925V,zeroltevzw,2019-08-15 20:34:01.0
564.0531005859375,1497.9312744140625,d8:c7:c8:42:69:52,-77,3.10.61-11738507,zeroltevzw,SM-G925V,zeroltevzw,2019-08-15 20:34:01.0
564.0531005859375,1497.9312744140625,d8:c7:c8:42:69:50,-77,3.10.61-11738507,zeroltevzw,SM-G925V,zeroltevzw,2019-08-15 20:34:01.0
564.0531005859375,1497.9312744140625,d8:c7:c8:42:3d:b2,-90,3.10.61-11738507,zeroltevzw,SM-G925V,zeroltevzw,2019-08-15 20:34:01.0
564.0531005859375,1497.9312744140625,d8:c7:c8:42:63:90,-79,3.10.61-11738507,zeroltevzw,SM-G925V,zeroltevzw,2019-08-15 20:34:01.0
564.0531005859375,1497.9312744140625,d8:c7:c8:42:63:92,-79,3.10.61-11738507,zeroltevzw,SM-G925V,zeroltevzw,2019-08-15 20:34:01.0
564.0531005859375,1497.9312744140625,d8:c7:c8:42:22:81,-57,3.10.61-11738507,zeroltevzw,SM-G925V,zeroltevzw,2019-08-15 20:34:01.0
